"","Position","year","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","artist_name","track_name"
"38",38,"1960",FALSE,0.537,0.641,5,-8.119,1,0.0388,0.841,0.000494,0.272,0.68,112.74,134587,1,"Conway Twitty","Lonely Blue Boy"
"39",39,"1960",FALSE,0.477,0.575,5,-11.266,1,0.0318,0.46,0,0.4,0.857,126.408,111961,4,"Steve Lawrence","Pretty Blue Eyes"
"40",40,"1960",FALSE,0.658,0.699,10,-10.112,1,0.058,0.491,1.41e-05,0.146,0.912,143.622,159879,4,"Freddy Cannon","Way Down Yonder In New Orleans"
"41",41,"1960",FALSE,0.334,0.22,7,-14.159,1,0.0318,0.883,0,0.162,0.312,114.629,175147,4,"Anita Bryant","Paper Roses"
"42",42,"1960",FALSE,0.833,0.277,6,-13.025,0,0.0997,0.453,5.16e-05,0.078,0.0553,107.694,189000,4,"Larry Verne","Mr. Custer - Re-Recording"
"43",43,"1960",FALSE,0.491,0.222,8,-16.239,1,0.0314,0.786,3.44e-06,0.184,0.461,108.651,183853,3,"Brenda Lee","I Want To Be Wanted (Per Tutta La Vita) - Remake Version"
"44",44,"1960",FALSE,0.468,0.426,4,-9.538,1,0.0347,0.888,6.35e-05,0.208,0.625,127.609,142000,4,"The Fendermen","Mule Skinner Blues"
"45",45,"1960",FALSE,0.478,0.562,6,-8.392,0,0.0791,0.742,0,0.118,0.888,173.737,142524,4,"Johnny Preston","Cradle of Love"
"46",46,"1960",FALSE,0.456,0.609,11,-11.767,1,0.068,0.275,0.0198,0.108,0.668,84.441,209800,4,"Tommy James & The Shondells","Crimson And Clover"
"47",47,"1960",FALSE,0.782,0.67,2,-11.849,1,0.0501,0.134,0,0.0843,0.961,135.075,164133,4,"Marv Johnson","You Got What It Takes - Re-Recording"
"48",48,"1960",FALSE,0.58,0.384,7,-8.649,1,0.0312,0.889,3.71e-05,0.121,0.582,105.76,140214,4,"Hank Locklin","Please Help Me I'm Falling"
"49",49,"1960",FALSE,0.709,0.557,3,-10.98,1,0.0434,0.221,0.425,0.13,0.874,139.781,187520,4,"Ron Holden","Love You So - Re-Recording"
"50",50,"1960",FALSE,0.526,0.603,1,-8.661,0,0.0346,0.241,0,0.326,0.928,159.024,157571,4,"Hank Ballard","Finger Poppin Time"
"51",51,"1960",FALSE,0.319,0.571,6,-4.294,1,0.033,0.943,0.000581,0.318,0.36,78.755,194547,4,"The Platters","Harbor Lights"
"52",52,"1960",FALSE,0.474,0.435,5,-14.622,1,0.107,0.254,0.00152,0.351,0.962,146.684,139133,4,"Billy Bland","Let the Little Girl Dance"
"53",53,"1960",FALSE,0.354,0.179,10,-9.088,1,0.0355,0.953,2.54e-06,0.114,0.41,166.375,164440,3,"Jeanne Black","He'll Have To Stay - Original Hit Version"
"54",54,"1960",FALSE,0.383,0.275,5,-14.572,1,0.0277,0.884,0.941,0.146,0.109,95.786,181667,4,"Ferrante & Teicher","Theme From ""The Apartment"""
"55",55,"1960",FALSE,0.647,0.655,0,-9.372,1,0.128,0.638,4.93e-05,0.244,0.569,126.618,160400,4,"Bobby Rydell","Volare - Re-Recording"
"56",56,"1960",FALSE,0.283,0.327,10,-13.089,1,0.0336,0.567,0,0.19,0.404,102.545,150265,3,"Jimmy Charles","A Million To One"
"57",57,"1960",FALSE,0.135,0.227,8,-12.953,1,0.0317,0.831,4.5e-06,0.359,0.315,174.449,201867,3,"Andy Williams","The Village of St. Bernadette"
"58",58,"1960",FALSE,0.861,0.531,0,-10.148,1,0.0433,0.635,0.723,0.068,0.962,117.187,153320,4,"Bill Black's Combo","White Silver Sands"
"59",59,"1960",FALSE,0.558,0.149,2,-15.87,1,0.0325,0.961,9.75e-06,0.101,0.493,91.785,145000,4,"The Browns","The Old Lamplighter"
"60",60,"1960",FALSE,0.571,0.283,5,-10.218,1,0.0318,0.702,0,0.0998,0.611,113.091,138293,4,"Bobby Vee","Devil Or Angel"
"61",61,"1960",FALSE,0.873,0.413,4,-12.808,1,0.0853,0.725,0.000469,0.0605,0.966,122.015,150360,4,"The Four Preps","Down By The Station"
"62",62,"1960",FALSE,0.533,0.364,0,-11.703,1,0.026,0.392,0.00013,0.109,0.53,72.039,144960,4,"Little Dippers","Forever"
"63",63,"1960",FALSE,0.247,0.359,2,-8.888,1,0.0304,0.794,0,0.0699,0.449,185.652,162267,3,"The Safaris","Image Of A Girl"
"64",64,"1960",FALSE,0.742,0.416,3,-8.942,1,0.0417,0.747,8.73e-05,0.22,0.764,112.069,154160,4,"Brook Benton","Kiddio"
"65",65,"1960",FALSE,0.52,0.492,10,-9.578,1,0.0269,0.611,1.18e-05,0.135,0.847,83.038,140480,4,"Donnie Brooks","Mission Bell - Re-Recording"
"66",66,"1960",FALSE,0.835,0.611,9,-9.49,1,0.0338,0.165,3.05e-05,0.0909,0.944,132.757,158560,4,"Marv Johnson","I Love The Way You Love"
"67",67,"1960",FALSE,0.411,0.365,3,-9.738,1,0.0297,0.721,0,0.314,0.503,110.882,147667,3,"Paul Anka","Time To Cry"
"68",68,"1960",FALSE,0.556,0.348,10,-13.147,1,0.0363,0.753,0,0.086,0.285,102.419,179664,3,"Ray Peterson","Tell Laura I Love Her"
"69",69,"1960",FALSE,0.234,0.277,0,-9.701,1,0.0334,0.963,0.00827,0.541,0.103,89.172,235964,3,"Connie Francis","Mama"
"70",70,"1960",FALSE,0.516,0.432,2,-14.826,0,0.0387,0.633,0,0.51,0.896,143.835,134200,4,"Steve Lawrence","Footsteps"
"71",71,"1960",FALSE,0.546,0.198,4,-16.829,1,0.028,0.628,0,0.279,0.395,102.39,153533,4,"The Everly Brothers","So Sad (To Watch Good Love Go Bad)"
"72",72,"1960",FALSE,0.615,0.57,1,-8.003,1,0.0302,0.421,2.69e-06,0.233,0.95,97.241,148960,4,"Brenda Lee","That's All You Gotta Do"
"73",73,"1960",FALSE,0.287,0.588,1,-10.653,1,0.0318,0.391,0,0.0887,0.758,86.916,146240,4,"Fats Domino","Walkin' To New Orleans"
"74",74,"1960",FALSE,0.478,0.453,9,-7.046,1,0.0271,0.4,6.4e-06,0.126,0.462,108.043,154133,3,"Connie Francis","Among My Souvenirs"
"75",75,"1960",FALSE,0.724,0.621,5,-10.848,1,0.178,0.321,0.0203,0.323,0.892,151.337,134267,4,"Bobby Rydell","Swingin' School"
"76",76,"1960",FALSE,0.793,0.489,3,-11.84,1,0.0631,0.855,4.71e-05,0.212,0.958,129.915,148827,4,"Dinah Washington","A Rockin' Good Way (To Mess Around And Fall In Love)"
"77",77,"1960",FALSE,0.5,0.727,5,-7.531,1,0.0327,0.658,0,0.249,0.902,127.927,159773,4,"Neil Sedaka","Stairway to Heaven - Remastered"
"78",78,"1960",FALSE,0.79,0.514,11,-10.743,0,0.0362,0.223,0,0.14,0.962,117.022,126293,4,"Paul Anka","My Home Town"
"79",79,"1960",FALSE,0.251,0.253,7,-11.212,1,0.0316,0.686,0,0.147,0.202,101.092,216750,3,"Ray Charles","Georgia On My Mind"
"80",80,"1960",FALSE,0.686,0.49,11,-10.385,1,0.0359,0.748,0,0.444,0.906,128.293,125840,4,"Sam Cooke","Wonderful World"
"81",81,"1960",FALSE,0.405,0.243,5,-18.333,1,0.0337,0.96,0.709,0.0855,0.151,116.544,171892,4,"Spencer Ross","Tracy's Theme"
"82",82,"1960",FALSE,0.628,0.613,5,-6.434,1,0.032,0.627,0,0.249,0.753,122.256,138733,4,"Lloyd Price","Lady Luck"
"83",83,"1960",FALSE,0.408,0.602,9,-7.65,0,0.0439,0.529,0,0.131,0.904,200.409,151560,4,"The Crests","Step by Step"
"84",84,"1960",FALSE,0.717,0.545,9,-10.97,1,0.048,0.809,0.0554,0.243,0.961,93.888,117253,4,"Paul Evans","Happy-Go-Lucky-Me"
"85",85,"1960",FALSE,0.474,0.22,7,-13.862,0,0.0365,0.572,6.9e-05,0.126,0.409,77.4,153813,4,"Ricky Nelson","Young Emotions - Digitally Remastered 05"
"86",86,"1960",FALSE,0.391,0.45,4,-12.819,1,0.0419,0.442,0,0.327,0.752,74.525,136560,4,"Johnny Burnette","Dreamin'"
"87",87,"1960",FALSE,0.752,0.474,2,-11.859,1,0.0393,0.72,0.00911,0.0747,0.793,123.875,161265,4,"Joe Jones","You Talk Too Much"
"88",88,"1960",FALSE,0.566,0.832,6,-9.887,1,0.0384,0.497,0.838,0.427,0.929,90.107,128533,4,"Johnny & The Hurricanes","Beatnik Fly"
"89",89,"1960",FALSE,0.611,0.685,2,-13.523,1,0.108,0.396,8.96e-06,0.136,0.866,197.856,116013,4,"Bob Luman","Let's Think About Living"
"90",90,"1960",FALSE,0.518,0.556,5,-13.264,1,0.0479,0.526,3e-06,0.0853,0.726,171.496,153902,4,"Guy Mitchell","Heartaches By The Number"
"91",91,"1960",FALSE,0.483,0.321,11,-12.302,1,0.0281,0.845,1.58e-05,0.348,0.404,107.728,160080,4,"Anita Bryant","In My Little Corner Of The World"
"92",92,"1960",FALSE,0.566,0.243,5,-13.724,1,0.0276,0.9,0.103,0.21,0.48,94.907,171333,3,"Jackie Wilson","Doggin Around"
"93",93,"1960",FALSE,0.596,0.627,1,-6.117,1,0.0395,0.614,0,0.14,0.852,121.156,145360,4,"Bobby Rydell","Little Bitty Girl"
"94",94,"1960",FALSE,0.665,0.806,5,-7.972,1,0.0327,0.346,0,0.128,0.951,132.263,157880,4,"Barrett Strong","Money (That's What I Want) - Single Version / Mono"
"95",95,"1960",FALSE,0.561,0.602,7,-7.961,0,0.0369,0.792,0,0.136,0.837,119.905,98773,4,"Maurice Williams & The Zodiacs","Stay - Remastered 2003"
"96",96,"1960",FALSE,0.612,0.831,5,-10.373,1,0.0507,0.872,0.00435,0.102,0.453,90.914,126960,4,"Charlie Rich","Lonely Weekends"
"97",97,"1960",FALSE,0.628,0.489,0,-8.832,1,0.0299,0.561,5.74e-05,0.22,0.632,79.49,150840,4,"Larry Hall","Sandy"
"98",98,"1960",FALSE,0.793,0.44,0,-11.509,1,0.0766,0.436,1.01e-06,0.0564,0.979,142.676,143333,4,"Bobby Lewis","Tossin' And Turnin' - Re-Recording"
"99",99,"1960",FALSE,0.473,0.376,10,-4.723,1,0.0282,0.776,0,0.163,0.552,111.213,169474,4,"Patsy Cline","I Fall To Pieces"
"100",100,"1960",FALSE,0.52,0.0979,0,-21.351,1,0.0301,0.839,6.18e-06,0.183,0.642,107.527,166160,4,"Michael","Michael"
"101",1,"1961",FALSE,0.569,0.722,0,-8.914,1,0.0393,0.225,0,0.108,0.965,142.736,159640,4,"Bobby Lewis","Tossin' And Turnin'"
"102",2,"1961",FALSE,0.499,0.432,10,-6.752,1,0.0306,0.974,0.00388,0.394,0.672,113.669,166200,4,"Patsy Cline","I Fall To Pieces - Live"
"103",3,"1961",FALSE,0.52,0.127,0,-19.291,1,0.0293,0.87,1.21e-06,0.191,0.64,107.397,165559,4,"The Highwaymen","Michael (Row The Boat Ashore)"
"104",4,"1961",FALSE,0.35,0.293,2,-9.502,1,0.0258,0.758,8.21e-06,0.104,0.148,96.685,166467,4,"Roy Orbison","Crying"
"105",5,"1961",FALSE,0.584,0.563,10,-6.826,0,0.0455,0.137,1.83e-05,0.174,0.663,78.674,136467,4,"Del Shannon","Runaway"
"106",6,"1961",FALSE,0.254,0.465,3,-7.421,1,0.0325,0.768,0,0.315,0.628,183.362,155960,3,"The Jive Five","My True Story"
"107",7,"1961",FALSE,0.456,0.635,8,-4.594,1,0.0284,0.00928,4.44e-06,0.128,0.913,77.353,144589,4,"Chubby Checker","Pony Time"
"108",8,"1961",FALSE,0.787,0.623,0,-8.241,1,0.0359,0.689,0.0932,0.144,0.874,128.327,116360,4,"The String-A-Longs","Wheels"
"109",9,"1961",FALSE,0.342,0.653,8,-9.777,1,0.0567,0.554,2.03e-06,0.336,0.633,120.984,173800,3,"Dee Clark","Raindrops"
"110",10,"1961",FALSE,0.631,0.301,1,-13.797,1,0.0654,0.736,1.98e-05,0.105,0.925,166.068,119513,4,"Joe Dowell","Wooden Heart"
"111",11,"1961",FALSE,0.479,0.52,7,-12.423,1,0.0257,0.833,0.911,0.208,0.96,82.024,136000,4,"Lawrence Welk","Calcutta"
"112",12,"1961",FALSE,0.491,0.431,1,-12.257,1,0.0609,0.698,0,0.124,0.612,82.443,150867,4,"Bobby Vee","Take Good Care Of My Baby - 1990 - Remastered"
"113",13,"1961",FALSE,0.572,0.392,9,-10.555,1,0.0325,0.778,0.000435,0.15,0.372,128.255,132040,3,"Roy Orbison","Running Scared"
"114",14,"1961",FALSE,0.459,0.191,10,-11.901,1,0.0341,0.8,0,0.164,0.54,80.351,124187,4,"The Shirelles","Dedicated To The One I Love"
