"","Position","year","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","artist_name","track_name"
"1446",65,"1974",FALSE,0.626,0.827,6,-8.917,0,0.053,0.0191,0.178,0.0468,0.529,111.349,279933,4,"Kool & The Gang","Hollywood Swinging"
"1447",66,"1974",FALSE,0.866,0.493,11,-13.017,0,0.122,0.676,0.365,0.089,0.885,91.982,206120,4,"William DeVaughn","Be Thankful for What You Got"
"1448",67,"1974",FALSE,0.585,0.848,7,-8.376,1,0.083,0.352,1.63e-05,0.15,0.638,96.173,233720,4,"Johnny Bristol","Hang On In There Baby"
"1449",68,"1974",FALSE,0.447,0.643,2,-4.214,1,0.0277,0.581,0,0.0823,0.64,81.179,216080,4,"Mocedades","Eres Tú - (Remasterizado)"
"1450",69,"1974",FALSE,0.504,0.719,1,-9.155,0,0.0431,0.00878,0.00149,0.075,0.168,102.144,386707,4,"Golden Earring","Radar Love"
"1451",70,"1974",FALSE,0.58,0.303,4,-9.979,1,0.0295,0.373,1.2e-05,0.107,0.403,133.42,247827,4,"Dave Loggins","Please Come To Boston"
"1452",71,"1974",FALSE,0.64,0.442,7,-15.119,1,0.0424,0.0791,0.000344,0.0608,0.861,102.969,238533,4,"Wet Willie","Keep On Smilin'"
"1453",72,"1974",FALSE,0.75,0.777,9,-6.919,1,0.0288,0.384,0.0248,0.114,0.971,120.37,144160,4,"Bobby Womack","Lookin' For A Love"
"1454",73,"1974",FALSE,0.584,0.759,7,-7.375,1,0.0917,0.445,5.27e-06,0.166,0.755,141.082,246427,4,"The O'Jays","Put Your Hands Together"
"1455",74,"1974",FALSE,0.859,0.875,9,-7.306,0,0.0519,0.429,0.0522,0.484,0.868,106.561,256333,4,"Gladys Knight & The Pips","On and On"
"1456",75,"1974",FALSE,0.608,0.585,0,-10.324,1,0.0466,0.117,4.08e-05,0.131,0.757,82.513,249493,4,"Yusuf / Cat Stevens","Peace Train"
"1457",76,"1974",FALSE,0.207,0.389,0,-13.62,1,0.0356,0.119,0.000164,0.122,0.161,173.075,270867,4,"Chicago","[I've Been] Searchin' So Long"
"1458",77,"1974",FALSE,0.499,0.758,9,-6.022,1,0.0335,0.0294,0.114,0.0793,0.386,129.134,248307,4,"Paul McCartney","Jet"
"1459",78,"1974",FALSE,0.548,0.309,5,-14.074,1,0.031,0.448,0.00086,0.11,0.368,121.622,193960,4,"Elton John","Goodbye Yellow Brick Road"
"1460",79,"1974",FALSE,0.44,0.382,0,-11.442,1,0.0278,0.0735,2.97e-05,0.15,0.359,139.566,335707,4,"Elton John","Don't Let The Sun Go Down On Me"
"1461",80,"1974",FALSE,0.522,0.599,10,-8.332,1,0.0259,0.154,0.00388,0.302,0.691,104.907,171653,3,"Donny Osmond","I'm Leaving It (All) Up To You"
"1462",81,"1974",FALSE,0.599,0.618,5,-8.205,1,0.0238,0.136,0.00585,0.13,0.503,86.989,215053,4,"Todd Rundgren","Hello It's Me"
"1463",82,"1974",FALSE,0.293,0.218,9,-19.059,0,0.0429,0.556,0.663,0.113,0.0593,74.697,1561133,4,"Mike Oldfield","Tubular Bells - Pt. I"
"1464",83,"1974",FALSE,0.544,0.312,4,-12.146,1,0.0266,0.883,0.236,0.134,0.523,91.974,125667,4,"Tom T. Hall","I Love"
"1465",84,"1974",FALSE,0.614,0.737,4,-10.212,1,0.0502,0.407,4.03e-05,0.75,0.86,90.584,258267,4,"The Guess Who","Clap for the Wolfman"
"1466",85,"1974",FALSE,0.508,0.513,9,-13.947,1,0.0287,0.776,0.0303,0.11,0.676,133.791,151827,4,"Jim Croce","I'll Have To Say I Love You In A Song"
"1467",86,"1974",FALSE,0.312,0.53,6,-9.02,1,0.0378,0.38,0.000615,0.255,0.499,82.957,358215,3,"Lamont Dozier","Trying To Hold On To My Woman"
"1468",87,"1974",FALSE,0.712,0.636,11,-11.542,1,0.0454,0.0551,0,0.0868,0.897,124.669,284747,4,"Stevie Wonder","Don't You Worry 'Bout A Thing"
"1469",88,"1974",FALSE,0.746,0.34,5,-13.918,1,0.037,0.625,0.000429,0.18,0.525,121.535,192867,4,"Jim Stafford","My Girl Bill"
"1470",89,"1974",FALSE,0.676,0.684,8,-9.799,1,0.0599,0.01,3.54e-06,0.185,0.684,116.56,180653,4,"Diana Ross","My Mistake (Was To Love You)"
"1471",90,"1974",FALSE,0.416,0.833,2,-5.294,1,0.0364,0.00766,0.00148,0.359,0.642,146.25,224840,4,"Paul McCartney","Helen Wheels"
"1472",91,"1974",FALSE,0.68,0.423,0,-13.173,1,0.0346,0.705,2.27e-06,0.126,0.72,89.961,160840,4,"Jim Stafford","Wildwood Weed"
"1473",92,"1974",FALSE,0.4,0.73,7,-9.633,1,0.054,0.000968,0.0179,0.0612,0.437,134.602,293453,4,"First Class","Beach Baby"
"1474",93,"1974",FALSE,0.783,0.795,2,-9.81,1,0.0371,0.185,0.000614,0.102,0.834,113.112,212493,4,"War","Me And Baby Brother"
"1475",94,"1974",FALSE,0.607,0.612,2,-14.517,1,0.0582,0.136,0.00208,0.0648,0.873,130.304,243467,4,"Chicago","Call On Me"
"1476",95,"1974",FALSE,0.816,0.631,7,-10.746,1,0.0541,0.585,0,0.477,0.722,110.497,196653,4,"The Spinners","Mighty Love"
"1477",96,"1974",FALSE,0.786,0.79,6,-7.622,1,0.0879,0.119,3.32e-05,0.687,0.838,109.245,161813,4,"The Jackson 5","Dancing Machine"
"1478",97,"1974",FALSE,0.391,0.476,9,-12.318,0,0.0459,0.588,0,0.321,0.923,206.457,165293,4,"Cher","Half-Breed"
"1479",98,"1974",FALSE,0.849,0.84,9,-7.164,0,0.115,0.224,0.00671,0.0372,0.96,141.763,227720,4,"War","The Cisco Kid"
"1480",99,"1974",FALSE,0.463,0.508,4,-9.014,1,0.0266,0.258,0,0.33,0.778,81.737,286760,4,"John Denver","Rocky Mountain High"
"1481",100,"1974",FALSE,0.49,0.82,11,-8.336,0,0.0365,0.233,6.43e-06,0.0349,0.951,177.152,219827,4,"The Doobie Brothers","Take Me In Your Arms (Rock Me A Little While)"
"1482",1,"1975",FALSE,0.676,0.486,4,-13.656,1,0.0358,0.329,0,0.137,0.924,129.753,206800,4,"Captain & Tennille","Love Will Keep Us Together"
"1483",2,"1975",FALSE,0.655,0.703,0,-5.227,1,0.0267,0.134,8.97e-05,0.349,0.738,115.127,195493,4,"Glen Campbell","Rhinestone Cowboy"
"1484",3,"1975",FALSE,0.742,0.405,0,-15.627,0,0.0433,0.0611,0.00601,0.0718,0.755,125.481,323307,4,"Elton John","Philadelphia Freedom"
"1485",4,"1975",FALSE,0.743,0.146,10,-15.429,1,0.0355,0.84,1.81e-06,0.0886,0.719,91.906,154387,4,"Freddy Fender","Before The Next Teardrop Falls"
"1486",5,"1975",FALSE,0.446,0.489,11,-10.26,0,0.033,0.272,0,0.16,0.383,137.829,212627,4,"Frankie Valli","My Eyes Adored You"
"1487",6,"1975",FALSE,0.678,0.787,9,-9.045,1,0.0582,0.453,0.00271,0.199,0.801,102.513,170107,4,"Earth, Wind & Fire","Shining Star"
"1488",7,"1975",FALSE,0.628,0.568,10,-10.695,1,0.14,0.228,0.0183,0.0906,0.618,191.404,260947,4,"David Bowie","Fame (2007 Remastered)"
"1489",8,"1975",FALSE,0.498,0.62,5,-9.435,1,0.024,0.32,0.00628,0.0411,0.9,100.768,169552,4,"Neil Sedaka","Laughter In The Rain"
"1490",9,"1975",FALSE,0.655,0.606,7,-10.385,1,0.0285,0.0603,0.0789,0.0757,0.772,110.061,291686,4,"Eagles","One Of These Nights"
"1491",10,"1975",FALSE,0.409,0.621,9,-11.016,1,0.138,0.656,0,0.967,0.848,202.354,200467,3,"John Denver","Thank God I'm a Country Boy - Live"
"1492",11,"1975",FALSE,0.822,0.739,5,-7.145,1,0.0612,0.19,0.102,0.122,0.731,105.949,224453,4,"Bee Gees","Jive Talkin' - 2009 Remastered Version"
"1493",12,"1975",FALSE,0.559,0.393,0,-11.095,1,0.0237,0.717,0,0.0532,0.675,90.105,274891,4,"Eagles","The Best Of My Love"
"1494",13,"1975",FALSE,0.548,0.33,9,-8.998,1,0.044,0.901,0,0.0934,0.316,123.602,226583,4,"Minnie Riperton","Lovin' You"
"1495",14,"1975",FALSE,0.58,0.673,2,-12.183,1,0.0608,0.513,2.91e-06,0.203,0.753,102.224,192213,4,"Carl Douglas","Kung Fu Fighting"
"1496",15,"1975",FALSE,0.534,0.443,2,-12.858,1,0.0446,0.237,0,0.0883,0.693,169.247,255093,4,"The Doobie Brothers","Black Water - 2006 Remastered Version"
"1497",16,"1975",FALSE,0.644,0.799,4,-10.856,0,0.0598,0.0821,0.00154,0.055,0.883,108.382,246573,4,"Sweet","Ballroom Blitz"
"1498",17,"1975",FALSE,0.725,0.42,4,-12.666,1,0.035,0.494,5.91e-06,0.159,0.532,124.993,210141,4,"B.J. Thomas","Another Somebody Done Somebody Wrong Song"
"1499",18,"1975",FALSE,0.637,0.55,9,-12.378,1,0.0335,0.287,1.85e-05,0.345,0.8,119.303,219947,4,"Tony Orlando & Dawn","He Don't Love You [Like I Love You]"
"1500",19,"1975",FALSE,0.599,0.164,0,-23.035,1,0.0475,0.888,0.000612,0.121,0.32,125.388,280493,4,"Janis Ian","At Seventeen"
"1501",20,"1975",FALSE,0.768,0.853,10,-5.915,0,0.0427,0.0548,0.13,0.0188,0.887,107.234,239908,4,"Average White Band","Pick Up The Pieces"
"1502",21,"1975",FALSE,0.677,0.667,5,-8.819,1,0.0264,0.0188,0.801,0.168,0.873,117.11,252333,4,"Van McCoy","The Hustle - Super Hustle Mix"
"1503",22,"1975",FALSE,0.588,0.67,0,-8.044,1,0.0573,0.285,0,0.0768,0.8,118.051,236000,4,"LaBelle","Lady Marmalade"
"1504",23,"1975",FALSE,0.773,0.706,10,-9.042,1,0.0382,0.193,0,0.572,0.965,92.462,230067,4,"War","Why Can't We Be Friends?"
"1505",24,"1975",FALSE,0.535,0.222,11,-14.142,0,0.0323,0.814,1.21e-06,0.102,0.147,120.831,223347,4,"Major Harris","Love Won't Let Me Wait - Re-Recording"
"1506",25,"1975",FALSE,0.877,0.743,10,-11.995,0,0.0518,0.211,0.0487,0.0817,0.781,106.543,288067,4,"Stevie Wonder","Boogie On Reggae Woman"
"1507",26,"1975",FALSE,0.628,0.479,4,-7.562,1,0.0283,0.559,8.69e-05,0.201,0.849,87.587,164676,4,"Freddy Fender","Wasted Days And Wasted Nights"
"1508",27,"1975",FALSE,0.339,0.809,5,-8.902,0,0.0649,0.159,4.08e-05,0.349,0.922,126.539,334333,4,"The Isley Brothers","That Lady - Pt. 1 & 2"
"1509",28,"1975",FALSE,0.563,0.34,7,-15.589,0,0.0563,0.48,1.29e-05,0.119,0.597,80.324,211293,4,"Helen Reddy","Angie Baby"
"1510",29,"1975",FALSE,0.57,0.534,1,-9.785,1,0.028,0.354,0.00346,0.0395,0.962,107.119,250120,4,"The Ozark Mountain Daredevils","Jackie Blue"
"1511",30,"1975",FALSE,0.623,0.836,5,-10.373,1,0.0785,0.228,0.0466,0.311,0.803,107.306,274427,4,"Ohio Players","Fire"
"1512",31,"1975",FALSE,0.394,0.589,9,-6.68,0,0.0608,0.346,0,0.134,0.735,203.176,186333,4,"Pilot","Magic"
"1513",32,"1975",FALSE,0.669,0.514,9,-11.503,1,0.0293,0.157,6.97e-06,0.095,0.964,132.955,172733,4,"Carpenters","Please Mr. Postman"
"1514",33,"1975",FALSE,0.402,0.76,4,-5.332,1,0.0344,0.148,0.000225,0.128,0.716,135.947,197227,4,"America","Sister Golden Hair"
"1515",34,"1975",FALSE,0.409,0.371,0,-15.332,1,0.0521,0.104,0.00383,0.124,0.545,164.77,357627,4,"Elton John","Lucy In The Sky With Diamonds"
"1516",35,"1975",FALSE,0.325,0.421,10,-8.859,1,0.0278,0.373,1.03e-06,0.126,0.372,104.146,197733,4,"Barry Manilow","Mandy"
"1517",36,"1975",FALSE,0.542,0.324,0,-14.07,1,0.0329,0.566,2.27e-06,0.0876,0.399,121.802,213533,4,"Olivia Newton-John","Have You Never Been Mellow"
"1518",37,"1975",FALSE,0.315,0.506,0,-7.283,0,0.0347,0.85,0.0405,0.131,0.3,122.913,409053,4,"Barry Manilow","Could It Be Magic"
"1519",38,"1975",FALSE,0.513,0.491,10,-11.278,1,0.0466,0.454,0,0.145,0.478,76.913,226027,4,"Harry Chapin","Cat's In The Cradle"
"1520",39,"1975",FALSE,0.602,0.24,4,-18.565,1,0.0306,0.252,0.00101,0.219,0.221,79.99,307867,4,"Michael Martin Murphey","Wildfire"
"1521",40,"1975",FALSE,0.441,0.237,5,-10.169,1,0.0252,0.578,0.000765,0.0977,0.144,78.939,201933,4,"Jessi Colter","I'm Not Lisa"
"1522",41,"1975",FALSE,0.554,0.717,7,-9.768,1,0.0488,0.293,0.0035,0.98,0.693,123.816,212920,4,"Paul McCartney","Listen To What The Man Said - 2013 Remaster"
"1523",42,"1975",FALSE,0.388,0.669,4,-10.949,1,0.0666,0.696,0.00281,0.293,0.219,133.507,368227,4,"10cc","I'm Not In Love"
"1524",43,"1975",FALSE,0.472,0.685,0,-9.048,1,0.0495,0.503,0.0258,0.163,0.518,125.306,237947,4,"Billy Swan","I Can Help"
"1525",44,"1975",FALSE,0.432,0.635,8,-7.641,1,0.0418,0.569,0,0.0613,0.753,178.953,182227,4,"Hamilton, Joe Frank & Reynolds","Fallin' in Love (Re-Recorded)"
"1526",45,"1975",FALSE,0.596,0.194,4,-14.367,0,0.0275,0.834,4.75e-05,0.0995,0.266,74.967,299493,4,"Morris Albert","Feelings"
"1527",46,"1975",FALSE,0.39,0.647,9,-9.051,1,0.0338,0.741,0,0.18,0.62,152.924,174507,4,"Sammy Johns","Chevy Van"
"1528",47,"1975",FALSE,0.513,0.573,9,-10.023,1,0.0337,0.186,0.000958,0.0878,0.62,132.607,124867,4,"Linda Ronstadt","When Will I Be Loved"
"1529",48,"1975",FALSE,0.667,0.488,5,-11.451,1,0.0393,0.0158,0.00094,0.27,0.736,130.179,274267,4,"Barry White","You're The First, The Last, My Everything"
"1530",49,"1975",FALSE,0.463,0.453,5,-13.204,1,0.0371,0.371,0,0.0993,0.553,145.796,202560,4,"Olivia Newton-John","Please Mr. Please"
"1531",50,"1975",FALSE,0.669,0.52,8,-10.136,1,0.0345,0.245,0.00535,0.126,0.655,104.812,224027,4,"Linda Ronstadt","You're No Good"
"1532",51,"1975",FALSE,0.688,0.662,5,-12.965,1,0.0347,0.0238,0.000627,0.0602,0.804,113.045,253533,4,"The Blackbyrds","Walking In Rhythm"
"1533",52,"1975",FALSE,0.272,0.35,7,-11.417,1,0.0567,0.496,1.44e-05,0.814,0.23,148.025,285573,4,"Gladys Knight & The Pips","The Way We Were / Try to Remember - Single Version"
"1534",53,"1975",FALSE,0.449,0.381,0,-12.145,1,0.0264,0.737,0.429,0.0625,0.312,90.26,235000,4,"Melissa Manchester","Midnight Blue"
"1535",54,"1975",FALSE,0.756,0.617,2,-8.215,1,0.0362,0.322,0.000435,0.386,0.746,97.65,203533,4,"Sugarloaf","Don't Call Us, We'll Call You"
"1536",55,"1975",FALSE,0.511,0.242,7,-15.735,1,0.0318,0.41,0,0.111,0.608,131.82,278800,4,"Phoebe Snow","Poetry Man"
"1537",56,"1975",FALSE,0.668,0.583,5,-12.69,1,0.0378,0.00026,0.138,0.0671,0.605,108.299,305000,4,"B.T. Express","Express"
"1538",57,"1975",FALSE,0.576,0.583,6,-9.99,1,0.0483,0.613,0.0249,0.582,0.748,82.03,343360,4,"Earth, Wind & Fire","That's the Way of the World"
"1539",58,"1975",FALSE,0.395,0.675,7,-6.57,1,0.0387,0.186,0,0.0735,0.337,137.649,177680,4,"Styx","Lady"
"1540",59,"1975",FALSE,0.56,0.916,9,-3.72,0,0.0393,0.228,0,0.0969,0.877,125.019,176280,4,"Grand Funk Railroad","Bad Time - 2002 Digital Remaster"
"1541",60,"1975",FALSE,0.334,0.476,7,-8.497,1,0.0308,0.535,0.019,0.278,0.191,147.532,210933,4,"Alice Cooper","Only Women Bleed"
"1542",61,"1975",FALSE,0.639,0.691,0,-11.074,1,0.0483,0.314,0.00152,0.534,0.83,127.02,265462,4,"Carol Douglas","Doctor's Orders"
"1543",62,"1975",FALSE,0.669,0.754,10,-12.223,1,0.0279,0.134,0.0069,0.46,0.908,112.683,315745,4,"KC & The Sunshine Band","Get Down Tonight"
"1544",63,"1975",FALSE,0.383,0.198,1,-11.831,1,0.0408,0.91,0.00547,0.142,0.0772,122.191,163093,4,"Joe Cocker","You Are So Beautiful"
"1545",64,"1975",FALSE,0.691,0.767,5,-7.65,1,0.035,0.289,1.08e-05,0.123,0.882,109.868,184067,4,"Paul Anka","One Man Woman/One Woman Man - feat. Odia Coates"
"1546",65,"1975",FALSE,0.366,0.782,7,-7.762,1,0.0485,0.233,0.00322,0.945,0.505,85.917,296093,4,"Bad Company","Feel Like Makin' Love"
"1547",66,"1975",FALSE,0.764,0.567,0,-13.361,1,0.0412,0.252,0,0.104,0.779,108.805,214133,4,"James Taylor","How Sweet It Is [To Be Loved By You]"
"1548",67,"1975",FALSE,0.504,0.413,2,-9.605,1,0.0266,0.564,4.95e-05,0.136,0.49,98.15,181000,4,"Orleans","Dance With Me"
"1549",68,"1975",FALSE,0.548,0.916,7,-4.896,1,0.0643,0.0952,0.00314,0.682,0.734,111.662,375680,4,"Average White Band","Cut The Cake"
"1550",69,"1975",FALSE,0.677,0.668,0,-15.424,1,0.0293,0.00203,0.00324,0.0986,0.944,125.918,255000,4,"Gloria Gaynor","Never Can Say Goodbye - Remastered"
"1551",70,"1975",FALSE,0.48,0.557,10,-9.696,1,0.0276,0.413,7.71e-06,0.267,0.276,127.237,198827,4,"Paul Anka","I Don't Like to Sleep Alone - feat. Odia Coates"
"1552",71,"1975",FALSE,0.426,0.502,5,-8.347,0,0.0293,0.688,0,0.082,0.485,110.808,183373,3,"Donny Osmond","Morning Side Of The Mountain"
"1553",72,"1975",FALSE,0.846,0.721,2,-5.261,1,0.0498,0.151,0,0.253,0.609,121.449,202760,4,"Grand Funk Railroad","Some Kind Of Wonderful"
"1554",73,"1975",FALSE,0.542,0.595,9,-10.944,1,0.0337,0.576,0.00556,0.344,0.766,120.645,178097,4,"The Three Degrees","When Will I See You Again"
"1555",74,"1975",FALSE,0.689,0.559,8,-9.203,1,0.0377,0.196,0,0.148,0.801,113.801,176920,4,"Joe Simon","Get Down, Get Down (Get On The Floor)"
"1556",75,"1975",FALSE,0.453,0.265,7,-13.666,1,0.0309,0.855,0.00124,0.179,0.499,127.709,211747,4,"John Denver","I'm Sorry"
"1557",76,"1975",FALSE,0.218,0.419,9,-9.626,1,0.0311,0.808,4.45e-05,0.126,0.51,180.089,216013,3,"John Denver","Calypso"
"1558",77,"1975",FALSE,0.568,0.642,10,-6.495,1,0.0447,0.34,0,0.171,0.602,117.305,179600,4,"Queen","Killer Queen - Remastered 2011"
"1559",78,"1975",FALSE,0.623,0.775,2,-7.91,1,0.0498,0.341,5.54e-06,0.115,0.955,167.29,197560,4,"Eddie Kendricks","Shoeshine Boy"
"1560",79,"1975",FALSE,0.715,0.636,10,-12.662,1,0.0522,0.533,0.00151,0.168,0.743,104.853,354200,4,"B.T. Express","Do It ('Til You're Satisfied)"
"1561",80,"1975",FALSE,0.244,0.333,0,-16.255,1,0.0255,0.226,7.18e-06,0.0874,0.358,168.48,262773,4,"Electric Light Orchestra","Can't Get It Out Of My Head"
"1562",81,"1975",FALSE,0.745,0.401,0,-13.791,1,0.032,0.0681,0.034,0.204,0.845,110.718,179840,4,"Al Green","Sha-La-La (Make Me Happy)"
"1563",82,"1975",FALSE,0.557,0.473,7,-9.294,1,0.0262,0.261,3.95e-05,0.0658,0.53,79.368,150227,4,"America","Lonely People"
"1564",83,"1975",FALSE,0.636,0.679,0,-8.557,1,0.1,0.523,0.000377,0.137,0.961,95.548,284250,4,"Rufus","You Got The Love"
"1565",84,"1975",FALSE,0.489,0.562,2,-11.494,1,0.0301,0.0671,0.92,0.191,0.232,111.921,186600,4,"Mike Post","Theme from The Rockford Files (feat. Larry Carlton)"
"1566",85,"1975",FALSE,0.521,0.743,2,-5.903,1,0.0338,0.249,0,0.096,0.419,117.129,195293,4,"Joey Scarbury","Theme From ""Greatest American Hero"" (Believe It Or Not)"
"1567",86,"1975",FALSE,0.649,0.7,5,-8.43,0,0.0312,0.167,6.86e-05,0.382,0.972,122.697,243240,4,"Tavares","It Only Takes A Minute - 2004 Digital Remaster"
"1568",87,"1975",FALSE,0.654,0.911,0,-10.683,1,0.0452,0.344,0,0.943,0.9,126.971,211800,4,"Ringo Starr","The No-No Song - Live"
"1569",88,"1975",FALSE,0.503,0.833,0,-6.621,1,0.0377,0.0384,0.000224,0.323,0.504,132.584,183040,4,"Paul McCartney","Junior's Farm - DJ Edit"
"1570",89,"1975",FALSE,0.61,0.583,11,-9.804,0,0.0371,0.109,0,0.28,0.897,104.337,217333,4,"Jethro Tull","Bungle In The Jungle"
"1571",90,"1975",FALSE,0.687,0.841,9,-7.83,1,0.0601,0.624,0.000622,0.115,0.783,142.874,184493,3,"Leo Sayer","Long Tall Glasses - I Can Dance Remastered"
"1572",91,"1975",FALSE,0.458,0.446,1,-8.82,1,0.0279,0.334,6.28e-06,0.195,0.154,130.062,407440,4,"Elton John","Someone Saved My Life Tonight"
"1573",92,"1975",FALSE,0.26,0.319,8,-11.264,1,0.0316,0.919,0.00498,0.193,0.198,87.727,214293,4,"Johnny Mathis","Misty"
"1574",93,"1975",FALSE,0.55,0.91,2,-5.552,1,0.046,0.225,0,0.646,0.801,157.359,179093,4,"Neil Sedaka","Bad Blood"
"1575",94,"1975",FALSE,0.362,0.432,8,-13.991,1,0.0385,0.0441,0,0.0516,0.553,136.938,227093,4,"Carpenters","Only Yesterday"
"1576",95,"1975",FALSE,0.597,0.706,1,-9.305,0,0.0282,1.71e-05,0.0692,0.0673,0.824,123.277,199627,4,"Dwight Twilley Band","I'm On Fire - 1996 - Remaster"
"1577",96,"1975",FALSE,0.825,0.532,9,-10.169,1,0.0341,0.714,0.000312,0.195,0.789,116.207,201827,4,"Amazing Rhythm Aces","Third Rate Romance - Remastered"
"1578",97,"1975",FALSE,0.51,0.544,2,-12.064,1,0.0416,0.000478,0.00153,0.258,0.775,119.988,218240,4,"Bachman-Turner Overdrive","You Ain't Seen Nothing Yet - Single Version"
"1579",98,"1975",FALSE,0.673,0.856,1,-4.213,1,0.0576,0.312,0.000689,0.0664,0.802,109.037,240373,4,"Frankie Valli","Swearin' To God - 2007 Remastered Version Single Version"
"1580",99,"1975",FALSE,0.601,0.545,7,-13.151,1,0.0645,0.461,0.00352,0.433,0.703,105.245,226032,4,"Disco Tex & The Sex-O-Lettes","Get Dancin'"
"1581",100,"1975",FALSE,0.657,0.435,10,-15.707,1,0.0552,0.739,0,0.167,0.763,135.975,181133,4,"King Harvest","Dancing In the Moonlight - Original Recording"
"1582",1,"1976",FALSE,0.523,0.674,8,-6.504,1,0.0374,0.094,0,0.0722,0.777,167.223,199760,4,"Aerosmith","Last Child"
"1583",2,"1976",FALSE,0.282,0.241,9,-15.263,1,0.0351,0.764,0.00104,0.0836,0.16,144.072,228360,4,"Carpenters","I Need To Be In Love"
"1584",3,"1976",FALSE,0.768,0.855,0,-9.684,1,0.0804,0.0638,0.00149,0.0484,0.762,100.635,208267,4,"Natalie Cole","Sophisticated Lady (She's A Different Lady) - Digitally Remastered 02"
"1585",4,"1976",FALSE,0.654,0.441,0,-11.127,1,0.0447,0.464,0,0.26,0.648,105.102,207733,3,"Aretha Franklin","Something He Can Feel"
"1586",5,"1976",FALSE,0.621,0.892,9,-7.259,1,0.074,0.141,1.42e-05,0.0703,0.921,154.783,181733,4,"Chicago","Another Rainy Day In New York City - Remastered"
"1587",6,"1976",FALSE,0.639,0.426,4,-14.005,1,0.0324,0.472,0,0.0711,0.516,96.977,195973,4,"America","Today's The Day"
"1588",7,"1976",FALSE,0.646,0.754,10,-9.577,1,0.027,0.295,0,0.144,0.914,114.272,187640,4,"Glen Campbell","Country Boy (You Got Your Feet In L.A.)"
"1589",8,"1976",FALSE,0.638,0.788,7,-7.295,1,0.0297,0.539,0.0181,0.0673,0.654,132.756,163027,4,"The Who","Squeeze Box"
"1590",9,"1976",FALSE,0.564,0.645,0,-12.923,1,0.0484,0.0552,2.84e-06,0.151,0.843,99.302,170173,4,"Steve Miller Band","Take the Money and Run"
"1591",10,"1976",FALSE,0.444,0.719,8,-9.742,1,0.0481,0.245,0.000382,0.306,0.77,80.593,266720,4,"Thin Lizzy","The Boys Are Back In Town"
"1592",11,"1976",FALSE,0.754,0.603,6,-14.919,0,0.0815,0.0714,1.9e-06,0.132,0.95,116.673,193973,4,"The Academy Allstars","Disco Duck"
"1593",12,"1976",FALSE,0.426,0.989,8,-6.505,1,0.182,0.365,0.00243,0.897,0.242,141.541,247600,4,"KISS","Rock And Roll All Nite"
"1594",13,"1976",FALSE,0.268,0.598,3,-8.308,1,0.0502,0.663,9.62e-06,0.195,0.307,139.548,229720,4,"Barry Manilow","Tryin' to Get the Feeling Again"
"1595",14,"1976",FALSE,0.68,0.426,11,-14.468,1,0.0553,0.455,0,0.436,0.778,105.626,180840,4,"Larry Groce","Junk Food Junkie"
"1596",15,"1976",FALSE,0.758,0.729,9,-9.638,1,0.0387,0.0905,3.55e-05,0.124,0.908,105.727,345933,4,"Parliament","Give Up The Funk (Tear The Roof Off The Sucker)"
"1597",16,"1976",FALSE,0.638,0.784,0,-7.851,1,0.0398,0.024,0.000402,0.19,0.738,121.89,195800,4,"Bay City Rollers","Money Honey"
"1598",17,"1976",FALSE,0.734,0.553,8,-11.146,0,0.0364,0.866,0,0.0608,0.967,116.525,136733,4,"Neil Sedaka","Breaking Up Is Hard to Do"
"1599",18,"1976",FALSE,0.635,0.764,3,-5.535,1,0.0316,0.22,0,0.165,0.693,120.004,223387,4,"Candi Staton","Young Hearts Run Free"
"1600",19,"1976",FALSE,0.48,0.781,7,-5.687,1,0.0305,0.445,4.1e-05,0.807,0.489,142.873,281067,4,"Peter Frampton","Baby, I Love Your Way - Live"
"1601",20,"1976",FALSE,0.653,0.741,5,-8.062,1,0.112,0.2,2.65e-06,0.125,0.634,101.638,197600,4,"David Ruffin","Walk Away From Love"
"1602",21,"1976",FALSE,0.663,0.641,11,-12.797,0,0.0833,0.0595,0.0425,0.315,0.896,112.372,203227,4,"Ohio Players","Who'd She Coo?"
"1603",22,"1976",FALSE,0.493,0.586,2,-13.916,1,0.046,0.0202,0.00106,0.102,0.668,113.618,232533,4,"Foghat","Slow Ride"
"1604",23,"1976",FALSE,0.57,0.515,2,-10.274,1,0.0322,0.521,1.55e-05,0.0987,0.51,121.776,214493,4,"Jefferson Starship","With Your Love"
"1605",24,"1976",FALSE,0.512,0.762,0,-7.035,1,0.0495,0.155,0.0108,0.0874,0.519,118.894,170800,4,"Queen","You're My Best Friend - Remastered 2011"
"1606",25,"1976",FALSE,0.539,0.62,9,-10.611,1,0.0449,0.13,0,0.0763,0.575,144.363,235480,4,"Orleans","Still The One (45 Version)"
"1607",26,"1976",FALSE,0.686,0.705,4,-7.259,1,0.233,0.237,0,0.0411,0.951,143.889,148973,4,"The Beach Boys","Rock and Roll Music"
"1608",27,"1976",FALSE,0.515,0.46,4,-9.295,1,0.0466,0.34,3.66e-05,0.638,0.356,77.913,313507,4,"Daryl Hall & John Oates","She's Gone"
"1609",28,"1976",FALSE,0.714,0.903,1,-8.155,1,0.0438,0.0411,0.0555,0.366,0.872,112.738,225933,4,"Earth, Wind & Fire","Getaway"
